Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
4099,"The Pragmatic Programmer: From Journeyman to Master","Andrew Hunt","Hunt, Andrew","Dave Thomas",="020161622X",="9780201616224",0,"4.32","Addison-Wesley Professional","Paperback","321",1999,1999,,2014/10/11,"to-read, datascience","to-read (#113), datascience (#6)","to-read",,"",,,,,0,,,,,
1782447,"Head First SQL: Your Brain on SQL -- A Learner's Guide","Lynn Beighley","Beighley, Lynn","",="0596526849",="9780596526849",0,"3.86","O'Reilly Media","Paperback","610",2007,2007,,2014/10/11,"to-read, datascience","to-read (#112), datascience (#5)","to-read",,"",,,,,0,,,,,
6484866,"Head First Data Analysis: A Learner's Guide to Big Numbers, Statistics, and Good Decisions","Michael Milton","Milton, Michael","",="0596153937",="9780596153939",0,"3.64","O'Reilly Media","Paperback","486",2009,2009,,2014/10/11,"to-read, datascience","to-read (#111), datascience (#4)","to-read",,"",,,,,0,,,,,
13129810,"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life","Timothy Ferriss","Ferriss, Timothy","",="0547884591",="9780547884592",0,"3.94","New Harvest","Hardcover","672",2012,2012,,2014/10/11,"to-read, productivity","to-read (#110), productivity (#3)","to-read",,"",,,,,0,,,,,
13610343,"NoSQL Distilled: A Brief Guide to the Emerging World of Polyglot Persistence","Pramod J. Sadalage","Sadalage, Pramod J.","Martin Fowler",="0321826620",="9780321826626",0,"4.05","Addison-Wesley Professional","Paperback","192",2012,2012,,2014/10/11,"to-read, datascience","to-read (#109), datascience (#3)","to-read",,"",,,,,0,,,,,
16033602,"Lean Analytics: Use Data to Build a Better Startup Faster","Alistair Croll","Croll, Alistair","Benjamin Yoskovitz",="1449335675",="9781449335670",0,"4.09","O'Reilly Media","Hardcover","440",2013,2013,,2014/10/11,"to-read, datascience","to-read (#108), datascience (#2)","to-read",,"",,,,,0,,,,,
17397466,"An Introduction to Statistical Learning: With Applications in R","Gareth James","James, Gareth","Trevor Hastie, Robert Tibshirani, Daniela Witten",="1461471370",="9781461471370",0,"4.64","Springer","Hardcover","426",2014,2013,,2014/10/11,"to-read, datascience","to-read (#107), datascience (#1)","to-read",,"",,,,,0,,,,,
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)","Patrick Rothfuss","Rothfuss, Patrick","",="0756404738",="9780756404734",5,"4.56","DAW Books","Hardcover","994",2011,2011,2014/10/11,2014/10/11,"adventure-fiction","adventure-fiction (#23)","read",,"",,,,,0,,,,,
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)","Patrick Rothfuss","Rothfuss, Patrick","",="075640407X",="9780756404079",5,"4.55","Penguin Group DAW Hardcover","Hardcover","662",2007,2007,2014/10/05,2014/10/11,"adventure-fiction","adventure-fiction (#22)","read",,"",,,,,0,,,,,
32682,"Patriot Games (Jack Ryan, #1)","Tom Clancy","Clancy, Tom","",="0425134350",="9780425134351",2,"4.06","Berkley","Paperback","503",1992,1987,2015/03/04,2014/09/13,"","","read",,"",,,,,0,,,,,
290116,"Fighting for Your Marriage: Positive Steps for Preventing Divorce and Preserving a Lasting Love","Howard J. Markman","Markman, Howard J.","Scott M. Stanley, Susan L. Blumberg",="0787957445",="9780787957445",5,"3.91","Jossey Bass","Paperback","384",2001,1994,2014/08/15,2014/07/04,"psycology","psycology (#22)","read",,"",,,,,0,,,,,
17395056,"Finding Your Heart's Desire: Ambition, Motivation and True Success","R.T. Kendall","Kendall, R.T.","",="0800795679",="9780800795672",0,"4.15","Chosen Books","Paperback","184",2013,2013,,2014/07/03,"to-read","to-read (#104)","to-read",,"",,,,,0,,,,,
8520610,"Quiet: The Power of Introverts in a World That Can't Stop Talking","Susan Cain","Cain, Susan","",="0307352145",="9780307352149",2,"4.01","Crown","Hardcover","352",2012,2012,2014/07/04,2014/05/03,"","","read","Wow, this book is really negative.  <br/><br/>It bashes extroverts in the first few chapters more than it encourages introverts. It makes it into a who is better competition. That is really not what I expected. This book also really skips over the understanding of the spectrum that people can operate in, and goes strait to the bashing and sarcasm to try to encourage quiet people. With all the extrovert examples being over the top self promoters, yeah, they are going to seem like crazy people. But thats so wrong. And so is the idea that introverts are weak and can't handle social situations.  I work with amazing introverted leaders. There is definitely less desire to be in the spotlight but they are not incapable of it and do very well. This book seems to exaggerate the problem. <br/><br/>Next there are a series of chapters that essentially give you a list of excuse options from physiology to brain processes that are uncontrollable if you feel anxiety. Its not well founded research or at least feels like she is stretching good research to make her own points. Either way, I was put off enough and disappointed from the tone of the book that I gave up on it as something that might give me more constructive understanding of extravert and introvert personality styles.  Its unfinished and will just have to stay that way. There are way better books out there to help me understand different personalities and temperments. ","","","","","",0,,,,,
1052,"The Richest Man in Babylon","George S. Clason","Clason, George S.","",="0451205367",="9780451205360",0,"4.18","Signet","Paperback","144",2002,1926,,2014/02/28,"to-read, economics-and-financial","to-read (#101), economics-and-financial (#9)","to-read",,"",,,,,0,,,,,
6570928,"The Total Money Makeover Workbook","Dave Ramsey","Ramsey, Dave","",="",="",0,"4.32",,"Kindle Edition","245",,2003,,2014/02/28,"to-read, economics-and-financial","to-read (#100), economics-and-financial (#8)","to-read",,"",,,,,0,,,,,
15708848,"The Millionare Next Door","Thomas J. Stanley","Stanley, Thomas J.","William D. Danko",="",="",5,"3.94","Gallery Books","Kindle Edition","",1998,1995,2014/02/28,2013/12/27,"economics-and-financial","economics-and-financial (#5)","read","","","","","","",0,,,,,
106,"Dune Messiah (Dune Chronicles, #2)","Frank Herbert","Herbert, Frank","",="0441172695",="9780441172696",2,"3.83","Ace Books","Mass Market Paperback","331",1987,1965,2014/05/25,2013/12/27,"sci-fi","sci-fi (#7)","read",,"",,,,,0,,,,,
13260184,"The 4 Disciplines of Execution: Achieving Your Wildly Important Goals","Chris McChesney","McChesney, Chris","Sean Covey, Jim Huling",="145162705X",="9781451627053",0,"4.00","Free Press","Hardcover","296",2012,2011,,2013/12/27,"productivity, to-read","productivity (#2), to-read (#105)","to-read",,"",,,,,0,,,,,
48503,"The Worst Journey in the World","Apsley Cherry-Garrard","Cherry-Garrard, Apsley","Caroline Alexander",="0143039385",="9780143039389",0,"4.17","Penguin Classics","Paperback","640",2006,1922,,2013/12/27,"currently-reading, adventure-non-fiction","currently-reading (#2), adventure-non-fiction (#1)","currently-reading",,"",,,,,0,,,,,
9484114,"The Happiness Advantage: The Seven Principles of Positive Psychology That Fuel Success and Performance at Work","Shawn Achor","Achor, Shawn","",="0307591565",="9780307591562",0,"4.10","Crown Business","ebook","272",2010,2010,,2013/12/27,"to-read","to-read (#106)","to-read",,"",,,,,0,,,,,
234225,"Dune (Dune Chronicles, #1)","Frank Herbert","Herbert, Frank","",="0340839937",="9780340839935",4,"4.14","Hodder & Stoughton","Paperback","604",2006,1965,2013/06/01,2013/12/27,"sci-fi","sci-fi (#1)","read","","","","","","",0,,,,,
62111,"The Swiss Family Robinson  ","Johann David Wyss","Wyss, Johann David","Scott McKowen, Arthur Pober",="1402726023",="9781402726026",1,"3.91","Sterling","Hardcover","352",2006,1812,2014/07/04,2013/12/27,"","","read","This is a classic and certainly is worth knowing about the plot and story. Its hard for me to read, and I stopped after the monkey was brought home.  Maybe its just a little too kidish for me now but it also feels over the top with the 'know everything hero dad' and 'perfect family that can just make soup for family dinner the first night stranded on an island'.  A lot of it is unrealistic, which is fine, but combined with the fundamentalism and family survival guide themes its too fake for me. ","","","","","",0,,,,,
34057,"Captains Courageous","Rudyard Kipling","Kipling, Rudyard","",="0543895882",="9780543895882",2,"3.87","Adamant Media Corporation","Paperback","161",2006,1897,2013/12/27,2013/12/27,"","","read","Lots of sailor talk and very little character development. Harvey changes from a spoiled kid to observant fisherman from a single punch almost. Lots of potential in the plot but most of the time I wasn't sure what was happening and it was hard for me to finish.","",,,,,0,,,,,
50,"Hatchet (Brian's Saga, #1)","Gary Paulsen","Paulsen, Gary","",="0689840926",="9780689840920",5,"3.64","Atheneum Books for Young Readers: Richard Jackson Books","Hardcover","208",2000,1986,2013/11/01,2013/12/27,"","","read",,"",,,,,0,,,,,
62291,"A Storm of Swords (A Song of Ice and Fire, #3)","George R.R. Martin","Martin, George R.R.","",="055357342X",="9780553573428",3,"4.54","Bantam","Mass Market Paperback","1177",2003,2000,2014/04/22,2013/12/27,"adventure-fiction","adventure-fiction (#26)","read",,"",,,,,0,,,,,
10572,"A Clash of Kings (A Song of Ice and Fire, #2)","George R.R. Martin","Martin, George R.R.","",="0553381695",="9780553381696",3,"4.39","Bantam","Paperback","778",2002,1998,2013/12/01,2013/12/27,"adventure-fiction","adventure-fiction (#25)","read",,"",,,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)","George R.R. Martin","Martin, George R.R.","",="0553588486",="9780553588484",3,"4.43","Bantam Spectra","Mass Market Paperback","835",2005,1996,2013/11/01,2013/12/27,"adventure-fiction","adventure-fiction (#24)","read",,"",,,,,0,,,,,
295,"Treasure Island","Robert Louis Stevenson","Stevenson, Robert Louis","",="0753453800",="9780753453803",4,"3.80","Kingfisher","Hardcover","311",2001,1883,2013/11/01,2013/12/10,"","","read",,"",,,,,0,,,,,
214614,"Desert Solitaire","Edward Abbey","Abbey, Edward","",="0345326490",="9780345326492",5,"4.22","Ballantine Books","Paperback","337",1985,1968,2014/12/04,2013/06/15,"friend-suggestion","friend-suggestion (#13)","read","I took me a very long time read this. I kept putting it down and coming back to it. Its not enthrawling, but many stories put together. There are some parts that no other book can touch. <br/><br/>I love it for what stands for... the fact that we need wilderness and that you can not drive to wilderness in your car or buy a ticket to see it. I also love how it makes the desert beautiful.  <br/><br/>I listened to it on audible and the readers mellow and rustic voice with the sarcastic undertones seem to match Abbey's sentiment perfectly. I even appreciated the pace and the pauses in the reading. It was very well done. ","","","","","",0,,,,,
7148931,"The 4-Hour Body: An Uncommon Guide to Rapid Fat-Loss, Incredible Sex, and Becoming Superhuman","Timothy Ferriss","Ferriss, Timothy","",="030746363X",="9780307463630",3,"3.72","Harmony","Hardcover","571",2010,2000,2013/04/01,2013/04/29,"","","read","","","","","","",0,,,,,
36071,"First Things First","Stephen R. Covey","Covey, Stephen R.","A. Roger Merrill, Rebecca R. Merrill",="0684802031",="9780684802039",0,"4.03","Free Press","Paperback","384",1996,1993,,2013/04/29,"to-read","to-read (#99)","to-read",,"",,,,,0,,,,,
4069,"Man's Search for Meaning","Viktor E. Frankl","Frankl, Viktor E.","Harold S. Kushner, Ilse Lasch",="080701429X",="9780807014295",5,"4.32","Beacon Press (Boston)","Paperback","165",2006,1946,2013/08/01,2013/04/29,"psycology","psycology (#9)","read",,"",,,,,0,,,,,
317786,"Knowing the Heart of God","George MacDonald","MacDonald, George","",="0764223127",="9780764223129",0,"4.33","Bethany House Publishers","Paperback","368",2000,1990,,2013/03/21,"christian, to-read","christian (#32), to-read (#102)","to-read",,"",,,,,0,,,,,
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen","Christopher McDougall","McDougall, Christopher","",="0307266303",="9780307266309",5,"4.28","Knopf","Hardcover","287",2009,2009,2013/03/25,2013/03/21,"friends-have-read","friends-have-read (#34)","read",,"",,,,,0,,,,,
19089,"Middlemarch","George Eliot","Eliot, George","Michel Faber",="0451529170",="9780451529176",0,"3.90","Signet","Paperback","904",2004,1872,,2013/03/21,"to-read, time-greatest-novels","to-read (#98), time-greatest-novels (#9)","to-read",,"",,,,,0,,,,,
23790,"Short Stories","Anton Chekhov","Chekhov, Anton","Ralph E. Matlaw",="0393090027",="9780393090024",0,"4.34","W. W. Norton & Company","Paperback","384",1979,,,2013/03/21,"to-read, time-greatest-novels","to-read (#97), time-greatest-novels (#8)","to-read",,"",,,,,0,,,,,
12749,"Swann's Way (In Search of Lost Time, #1)","Marcel Proust","Proust, Marcel","Lydia Davis",="0142437964",="9780142437964",0,"4.15","Penguin Classics","Paperback","468",2004,1913,,2013/03/21,"to-read, time-greatest-novels","to-read (#96), time-greatest-novels (#7)","to-read",,"",,,,,0,,,,,
1420,"Hamlet","William Shakespeare","Shakespeare, William","Richard Andrews, Rex Gibson",="0521618746",="9780521618748",4,"3.99","Cambridge University Press","Paperback","289",2005,1602,2000/03/01,2013/03/21,"time-greatest-novels","time-greatest-novels (#6)","read","","","","","","",0,,,,,
7604,"Lolita","Vladimir Nabokov","Nabokov, Vladimir","Craig Raine",="",="",0,"3.86","Penguin Classics","Paperback","378",2000,1955,,2013/03/21,"to-read, time-greatest-novels","to-read (#95), time-greatest-novels (#4)","to-read",,"",,,,,0,,,,,
656,"War and Peace","Leo Tolstoy","Tolstoy, Leo","Henry Gifford, Aylmer Maude, Louise Maude",="0192833987",="9780192833983",0,"4.09","Oxford University Press","Paperback","1392",1998,1869,,2013/03/21,"time-greatest-novels, to-read","time-greatest-novels (#3), to-read (#94)","to-read",,"",,,,,0,,,,,
2175,"Madame Bovary","Gustave Flaubert","Flaubert, Gustave","Margaret Mauldon, Malcolm Bowie, Mark Overstall",="0192840398",="9780192840394",0,"3.62","Oxford University Press","Paperback","329",2004,1857,,2013/03/21,"time-greatest-novels, to-read","time-greatest-novels (#2), to-read (#93)","to-read",,"",,,,,0,,,,,
16136512,"Anna Karenina","Leo Tolstoy","Tolstoy, Leo","",="",="",4,"3.99","RNIB","Audiobook","",2009,1873,2013/06/01,2013/03/21,"time-greatest-novels","time-greatest-novels (#1)","read",,"",,,,,0,,,,,
17743,"Beautiful Evidence","Edward R. Tufte","Tufte, Edward R.","",="0961392177",="9780961392178",0,"4.14","Graphics Pr","Hardcover","213",2006,2006,,2013/02/21,"to-read","to-read (#90)","to-read",,"",,,,,0,,,,,
12042357,"Think Stats","Allen B. Downey","Downey, Allen B.","",="1449307116",="9781449307110",0,"3.57","O'Reilly Media","Paperback","138",2011,2011,,2013/02/21,"to-read","to-read (#89)","to-read",,"",,,,,0,,,,,
13588394,"The Signal and the Noise: Why So Many Predictions Fail - But Some Don't","Nate Silver","Silver, Nate","",="159420411X",="9781594204111",0,"3.93","Penguin","Hardcover","544",2012,2012,,2013/02/21,"currently-reading, friend-suggestion","currently-reading (#1), friend-suggestion (#12)","currently-reading",,"",,,,,0,,,,,
8360735,"Data Analysis with Open Source Tools","Philipp K. Janert","Janert, Philipp K.","",="0596802358",="9780596802356",0,"3.95","O'Reilly Media","Paperback","540",2010,2010,,2013/02/21,"to-read","to-read (#88)","to-read",,"",,,,,0,,,,,
27523,"Left Behind (Left Behind, #1)","Tim LaHaye","LaHaye, Tim","Jerry B. Jenkins",="0842342702",="9780842342704",0,"3.78","Living Books","Paperback","352",2000,1995,,2013/01/02,"to-read","to-read (#87)","to-read",,"",,,,,0,,,,,
865,"The Alchemist","Paulo Coelho","Coelho, Paulo","Alan R. Clarke",="0061122416",="9780061122415",4,"3.77","HarperCollins","Paperback","197",1993,1988,2013/01/01,2012/12/28,"","","read","I love the adventure and building of the characters. It's very entertaining. ","",,,,,0,,,,,
